Rank,Brand,Brand__URI,Value,Industry,Industry__URI,Label lookup,Label ok
1,Microsoft,http://dbpedia.org/resource/Microsoft,62039,Software,http://dbpedia.org/resource/Software,1,0
2,Microsoft,http://dbpedia.org/resource/Microsoft,62040,Software,http://dbpedia.org/resource/Software,0,1
3,Microsoft,http://dbpedia.org/resource/Microsoft,62041,Software,http://dbpedia.org/resource/Software,0,0
4,Microsoft,http://dbpedia.org/resource/Microsoft,62042,Software,http://dbpedia.org/resource/Software,0,0
5,Microsoft,http://dbpedia.org/resource/Microsoft,62043,Software,http://dbpedia.org/resource/Software,0,0
6,Microsoft,http://dbpedia.org/resource/Microsoft,62044,Software,http://dbpedia.org/resource/Software,0,0
7,Microsoft,http://dbpedia.org/resource/Microsoft,62045,Software,http://dbpedia.org/resource/Software,0,0
8,Microsoft,http://dbpedia.org/resource/Microsoft,62046,Software,http://dbpedia.org/resource/Software,0,0
9,Microsoft,http://dbpedia.org/resource/Microsoft,62047,Software,http://dbpedia.org/resource/Software,0,0
10,Microsoft,http://dbpedia.org/resource/Microsoft,62048,Software,http://dbpedia.org/resource/Software,0,0
2,GE,http://dbpedia.org/resource/General_Electric,55834,Technology,http://dbpedia.org/resource/Technology,1,0
3,GE,http://dbpedia.org/resource/General_Electric,55835,Technology,http://dbpedia.org/resource/Technology,0,0
4,GE,http://dbpedia.org/resource/General_Electric,55836,Technology,http://dbpedia.org/resource/Technology,0,0
5,GE,http://dbpedia.org/resource/General_Electric,55837,Technology,http://dbpedia.org/resource/Technology,0,0
6,GE,http://dbpedia.org/resource/General_Electric,55838,Technology,http://dbpedia.org/resource/Technology,0,0
7,GE,http://dbpedia.org/resource/General_Electric,55839,Technology,http://dbpedia.org/resource/Technology,0,0
8,GE,http://dbpedia.org/resource/General_Electric,55840,Technology,http://dbpedia.org/resource/Technology,0,0
9,GE,http://dbpedia.org/resource/General_Electric,55841,Technology,http://dbpedia.org/resource/Technology,0,0
10,GE,http://dbpedia.org/resource/General_Electric,55842,Technology,http://dbpedia.org/resource/Technology,0,0
11,GE,http://dbpedia.org/resource/General_Electric,55843,Technology,http://dbpedia.org/resource/Technology,0,0
3,Coca-Cola,http://dbpedia.org/resource/The_Coca-Cola_Company,41406,F&D&T,,1,0
4,China Mobile,http://dbpedia.org/resource/China_Mobile,39168,Telecom,http://dbpedia.org/resource/Telecommunication,1,1
5,China Mobile,http://dbpedia.org/resource/China_Mobile,39169,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
6,China Mobile,http://dbpedia.org/resource/China_Mobile,39170,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
7,China Mobile,http://dbpedia.org/resource/China_Mobile,39171,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
8,China Mobile,http://dbpedia.org/resource/China_Mobile,39172,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
9,China Mobile,http://dbpedia.org/resource/China_Mobile,39173,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
10,China Mobile,http://dbpedia.org/resource/China_Mobile,39174,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
11,China Mobile,http://dbpedia.org/resource/China_Mobile,39175,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
12,China Mobile,http://dbpedia.org/resource/China_Mobile,39176,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
13,China Mobile,http://dbpedia.org/resource/China_Mobile,39177,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
14,China Mobile,http://dbpedia.org/resource/China_Mobile,39178,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
5,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38510,F&D&T,,1,0
6,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38511,F&D&T,,0,0
7,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38512,F&D&T,,0,0
8,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38513,F&D&T,,0,0
9,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38514,F&D&T,,0,0
10,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38515,F&D&T,,0,0
11,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38516,F&D&T,,0,0
12,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38517,F&D&T,,0,1
13,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38518,F&D&T,,0,0
14,Marlboro,http://dbpedia.org/resource/Marlboro_(cigarette),38519,F&D&T,,0,0
7,Google,http://dbpedia.org/resource/Google,37445,Software,http://dbpedia.org/resource/Software,1,0
8,Google,http://dbpedia.org/resource/Google,37446,Software,http://dbpedia.org/resource/Software,0,0
9,Google,http://dbpedia.org/resource/Google,37447,Software,http://dbpedia.org/resource/Software,0,1
